name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,source
Life Wilgers Hosp,clinic,,GP,,Denneboom Road,,,,,,,dsfsi_vacc
Lily Pharmacy Germiston,clinic,,GP,Ekurhuleni,55a Kenneth Avenue,,,,,,,dsfsi_vacc
Linksfield Pharmacy,clinic,,GP,,Shop 7 Linksfield Terrace 110 Linksfield Rd Edenvale,,,,,,,dsfsi_vacc
Loding Clinic,clinic,Public,GP,,,-25.1054,28.7638,,,,,who_mfl
Lord Khanyile Hall,clinic,,GP,,22 De Waal Street,,,,,,,dsfsi_vacc
Lotus Gardens Clinic,clinic,,GP,,,-25.7452,28.0825,,,,,who_mfl
Louise Clinic,clinic,Public,GP,,,-25.8867,29.2322,,,,,who_mfl
Lucky Mkhwanazi Clinic,clinic,,GP,,,-26.3852,28.4149,,,,,who_mfl
Luipaardsvlei Clinic,clinic,Public,GP,,"Cnr 1 Hompes Road and Chamdor Road, Lewinsham",-26.1224,27.8135,,,,,who_mfl
Luka Clinic,clinic,Public,GP,,,-25.5054,27.1894,,,,,who_mfl
Lyndhurst Clinic,clinic,,GP,,,-26.1258,28.1091,,,,,who_mfl
Lynnville Clinic,clinic,Public,GP,,,-25.8809,29.1898,,,,,who_mfl
Lyttelton Clinic,clinic,,GP,"Die Hoewes, Centurion",Clifton Avenue,-25.8352,28.1947,,,,,who_mfl
ML Pessen Clinic,clinic,,GP,Randfontein,Sutherland Aevnue,-26.1822,27.702,,,,+27 11 411 0172,who_mfl
MS Msimanga Clinic,clinic,Public,GP,,,-26.9615,29.1988,,,,,who_mfl
Maboloka Clinic,clinic,Public,GP,,,-25.4281,27.8605,,,,,who_mfl
Mabopane Indoor Center,clinic,,GP,,"8551 Mangope Road, Mabopane",,,,,,,dsfsi_vacc
Madibeng Clinic,clinic,Public,GP,,,-25.6363,27.7767,,,,,who_mfl
Madidi Kleinfontein Clinic,clinic,Public,GP,,,-25.4459,27.9541,,,,,who_mfl
Magagula Clinic,clinic,Public,GP,,,-26.4282,28.1922,,,,,who_mfl
Magopa Satellite Clinic,clinic,Public,GP,,,-25.57,27.3,,,,,who_mfl
Maikane Medical Suites,clinic,,GP,,,-25.6620975,27.2416064,,,,,osm
Majakaneng Clinic,clinic,Public,GP,,,-25.7405,27.6722,,,,,who_mfl
Makapanstad Seaparankwe Clinic,clinic,Public,GP,,,-25.2295,28.126,,,,,who_mfl
Makhaya Community Hall,clinic,,GP,,666 Koma Road and Ellias Motsoaledi Road,,,,,,,dsfsi_vacc
Maki Legwete Clinic,clinic,Public,GP,,,-26.179,27.7862,,,,,who_mfl
Mamelodi Crossing Pharmacy,clinic,,GP,,Mamelodi Crossing,,,,,,,dsfsi_vacc
Mamelodi West Clinic,clinic,,GP,"Mamelodi West, Pretoria",Nthsabeleng Street,-25.7142,28.3488,,,,,who_mfl
Mamelodi West Community Hall,clinic,,GP,,"8497 Corner Kubone & Tsweu Streets, Mamelodi West",,,,,,,dsfsi_vacc
Mandela Sisulu Clinic,clinic,Public,GP,"Orlando West, Soweto",Pela Street,-26.2351,27.9059,,,,,who_mfl
Mandisa Shiceka Clinic,clinic,Public,GP,,Plot 60 Mandela Village Hammanskraal,-25.4037,28.2857,,,,,who_mfl
Manor Medical Centre,clinic,,GP,"Morningside Manor, Sandton",Kelvin Drive,-26.068111,28.0741344,,,,,osm
Maraisburg Clinic,clinic,,GP,,,-26.1786,27.9404,,,,,who_mfl
Marapyane Community Health Centre,clinic,,GP,Marapyane,0431,-25.0167066,28.806324,,,,,osm
Maria Rantho Clinic,clinic,Public,GP,Soshanguve,Block L,-25.5389,28.1037,,,,,who_mfl
Marikana Clinic,clinic,Public,GP,,,-25.6968,27.4809,,,,,who_mfl
Market Avenue Clinic,clinic,,GP,,,-26.6737,27.9268,,,,,who_mfl
Market banquet hall,clinic,,GP,,22 Market Avenue Vereeniging,,,,,,,dsfsi_vacc
Marlboro Sport Complex,clinic,,GP,,1 Von Wielligh Street,,,,,,,dsfsi_vacc
Mathibestad Clinic,clinic,Public,GP,,,-25.2632,28.1706,,,,,who_mfl
Mathopestad Clinic,clinic,Public,GP,,,-26.0138,27.1992,,,,,who_mfl
Mathyzensloop Clinic,clinic,Public,GP,,,-25.2791,28.9913,,,,,who_mfl
Matsepe Clinic,clinic,Public,GP,,,-25.0233,29.497,,,,,who_mfl
Maubane Clinic,clinic,Public,GP,,,-25.2775,28.266,,,,,who_mfl
Mayfair Clinic,clinic,,GP,,,-26.2072601,28.0155755,,,,,osm
Mayibuye Clinic,clinic,,GP,,,-26.0327,28.1653,,,,,who_mfl
Mays Chemists-Melville,clinic,,GP,,"11 Main Rd, Melville",,,,,,,dsfsi_vacc
Meadowlands Zone 2 LA Clinic,clinic,Public,GP,,,-26.2196,27.8989,,,,,who_mfl
Meadowlands zone 10 Hall,clinic,,GP,,Stand 293 - 8 Heckroodt Circle Meadowlands Ext 2 Soweto 1852,,,,,,,dsfsi_vacc
Med-X Roodepoort,clinic,,GP,,,-26.1710252,27.9072507,,,,,osm
Medicare Douglasdale Pharmacy,clinic,,GP,,"Shop 12/13 Douglasdale Shopping Centre, Cnr Douglas Dr and Leslie Ave, Douglasdale, 1953",,,,,,,dsfsi_vacc
Medicare Pharmacy - Weltevreden,clinic,,GP,,251 Beyers Naude Drive,,,,,,,dsfsi_vacc
Medicare24,clinic,,GP,Boksburg,Wiek Street,-26.1783893,28.2457262,,,,,osm
Medicross Bedfordview,clinic,Netcare,GP,Johannesburg,"14 Nicol Rd, Bedfordview, 2007",-26.183,28.13,,,healthbridge,,curated
Medicross Benoni,clinic,Netcare,GP,Benoni,"Tom Jones St, Benoni, 1501",-26.187,28.313,71,,healthbridge,,curated
Medicross Boksburg,clinic,Netcare,GP,Boksburg,"Commissioner St, Boksburg, 1459",-26.218,28.256,,,healthbridge,,curated
Medicross Carlswald Medical Centre,clinic,Netcare,GP,Carlswald,5th Road,-25.9819765,28.1189816,,,,+27 11 318 0634,osm
Medicross Centurion,clinic,Netcare,GP,Centurion,"Cnr West & Lenchen Ave, Centurion, 0157",-25.862,28.187,,,healthbridge,,curated
Medicross Edenvale,clinic,Netcare,GP,Johannesburg,"Van Riebeeck Ave, Edenvale, 1609",-26.131,28.152,,,healthbridge,,curated
Medicross Germiston,clinic,Netcare,GP,Germiston,"Victoria St, Germiston, 1401",-26.223,28.168,600,,healthbridge,+27118247300,curated
Medicross Kempton Park,clinic,Netcare,GP,Kempton Park,"Cnr CR Swart & Monument Rd, Kempton Park, 1619",-26.102,28.235,600,,healthbridge,,curated
Medicross Midrand,clinic,Netcare,GP,Midrand,"New Rd, Halfway House, Midrand, 1685",-25.994,28.129,600,,healthbridge,,curated
Medicross Northgate,clinic,Netcare,GP,Johannesburg,"Northgate Shopping Centre, Randburg, 2195",-26.058,27.948,,,healthbridge,,curated
Medicross Pretoria North,clinic,Netcare,GP,Pretoria,"Cnr Rachel de Beer & Lavender Rd, Pretoria North, 0182",-25.692,28.194,,,healthbridge,,curated
Medicross Randburg,clinic,Netcare,GP,Johannesburg,"Cnr Hill & Bram Fischer Dr, Randburg, 2194",-26.096,28.001,,,healthbridge,,curated
Medicross Roodepoort,clinic,Netcare,GP,Johannesburg,"Cnr Ontdekkers & Christiaan de Wet Rd, Roodepoort, 1724",-26.147,27.862,,,healthbridge,,curated
Medicross Rosebank,clinic,Netcare,GP,Johannesburg,"Cradock Ave, Rosebank, 2196",-26.145,28.043,128,,healthbridge,,curated
Medicross Sandton,clinic,Netcare,GP,Johannesburg,"Cnr Rivonia Rd & 5th St, Sandhurst, 2196",-26.081,28.055,,,healthbridge,,curated
Medicross Soweto,clinic,Netcare,GP,Johannesburg,"Chris Hani Rd, Soweto, 1862",-26.254,27.94,,,healthbridge,,curated
Medicross Springs,clinic,Netcare,GP,Springs,"5th Ave, Springs, 1559",-26.253,28.438,,,healthbridge,,curated
Medicross Vanderbijlpark,clinic,Netcare,GP,Vanderbijlpark,"Cnr Frikkie Meyer & Beethoven, Vanderbijlpark, 1900",-26.711,27.802,,,healthbridge,,curated
Medicross Woodmead,clinic,Netcare,GP,Johannesburg,"Woodmead Dr, Woodmead, 2191",-26.048,28.084,,,healthbridge,,curated
Medicross the Berg,clinic,Netcare,GP,Johannesburg,Bergbron Drive,-26.1629174,27.9526219,,,,+27 11 673 4150; +27 11 670 2400,osm
Medscheme Florida (Roodepoort),clinic,,GP,,37 Conrad Street,,,,,,,dsfsi_vacc
Medscheme Louwlardia,clinic,,GP,,"21 Watershed Close, Louwlardia",,,,,,,dsfsi_vacc
Men's Clinic International,clinic,,GP,,,-25.4027695,28.7217651,,,,,osm
"Menlyn Retail Park, Clicks Pharmacy",clinic,Independent,GP,Pretoria,"Lois Avenue, Menlyn Retail Park",-25.7876763,28.2766306,,,,,osm
Metsimaholo Clinic,clinic,Public,GP,,,-26.9791,28.2111,,,,,who_mfl
Meyerton Clicks Pharmacy,clinic,Independent,GP,,Loch Street,,,,,,,dsfsi_vacc
Mfidikwe Clinic,clinic,Public,GP,,,-25.6633,27.3434,,,,,who_mfl
Michael Maponya LA Clinic,clinic,Public,GP,Johannesburg,"1479 Nyanga, Primville Zone 1",-26.2628,27.909,,,,,who_mfl
Mid Ennerdale Clinic,clinic,,GP,,,-26.4139,27.8471,,,,,who_mfl
Middelburg Civic Centre Clinic,clinic,Public,GP,,,-25.7734,29.4562,,,,,who_mfl
Middelburg Ext 6 Clinic,clinic,Public,GP,,,-25.7683,29.4086,,,,,who_mfl
Middelburg Ext 8 Clinic,clinic,Public,GP,,,-25.7518,29.4467,,,,,who_mfl
Midrand LA EMS,clinic,,GP,,"19 First Rd, Halfway Gardens, Midrand",,,,,,,dsfsi_vacc
Midrand West Clinic,clinic,,GP,,Harry Galaun Road,-25.9845,28.1129,,,,+27 11 312 4659;+27 11 056 5338,who_mfl
Midstream Hill Medical Park,clinic,,GP,,Midhill Boulevard,-25.9261118,28.1808414,,,,+27 12 942 1399,osm
Midstream Pharmacy,clinic,,GP,Ekurhuleni,Stand 3617 1 Madeleine Street,,,,,,,dsfsi_vacc
Midstream Ridge Laerskool,clinic,,GP,Ekurhuleni,"Olifantsfontein 410-JR, Olifantsfontein",,,,,,,dsfsi_vacc
Midvaal Community Development Centre (Clinic),clinic,,GP,,28 Mitchell Road Meyerton,,,,,,,dsfsi_vacc
Migson Manor Satellite Clinic,clinic,,GP,,,-26.4183,27.8776,,,,,who_mfl
Mispel Street Clinic,clinic,Public,GP,,,-26.9245,29.2297,,,,,who_mfl
Mmakaunyane Clinic,clinic,Public,GP,,,-25.3893,27.8752,,,,,who_mfl
Modderkuil Clinic,clinic,Public,GP,,,-25.1236,27.1976,,,,,who_mfl
Modderspruit Satellite Clinic,clinic,Public,GP,,,-25.7237,27.6523,,,,,who_mfl
Mogale Clinic,clinic,Public,GP,,,-25.9972,27.5358,,,,,who_mfl
Mogogelo Clinic,clinic,Public,GP,,,-25.351,28.1447,,,,,who_mfl
Mohadin Clinic,clinic,Public,GP,,,-26.7148,27.0337,,,,,who_mfl
Moiletsoane Buffelsdoorn Clinic,clinic,Public,GP,,,-25.3806,27.9313,,,,,who_mfl
Moleleki Clinic,clinic,,GP,,,-26.3843,28.1776,,,,,who_mfl
Momentum Metropolitan Vaccination Centre-Doringkloof,clinic,,GP,,67 Koranna Avenue Doringkloof Centurion- Pretoria,,,,,,,dsfsi_vacc
Momentum Metropolitan Vaccination Centre-the Marc Sandton,clinic,,GP,,The Marc Building Ground floor 129 Rivonia Road Sandton,,,,,,,dsfsi_vacc
Monakato Clinic,clinic,Public,GP,,,-25.3573,27.2762,,,,,who_mfl
Mondeor Medical Centre,clinic,,GP,Johannesburg South,Columbine Avenue,-26.2773956,28.0108625,,,,,osm
Mondeor Recreational Centre,clinic,,GP,,"276 Daylesford Rd, Mondeor",,,,,,,dsfsi_vacc
Mononono Clinic,clinic,Public,GP,,,-25.0441,27.1877,,,,,who_mfl
Montana Satellite Clinic,clinic,,GP,Pretoria,Cnr Dr Swanepoel & Rooibos Streets,-25.6745,28.2438,,,,+27 12 492 7094,who_mfl
Moreleta Park NG Kerk,clinic,,GP,,"2353 de Villebois-Mareuil Street, Moreleta Park",,,,,,,dsfsi_vacc
Moroka Clinic,clinic,Public,GP,Ladybrand,Station Road,-26.2616,27.866,,,,,who_mfl
Moruleng Clinic,clinic,Public,GP,,,-25.1697,27.1678,,,,,who_mfl
Mosate Medical Center,clinic,,GP,,Deetlefs Avenue,-25.6407552,28.0894477,,,,,osm
Motetema Clinic,clinic,Public,GP,,,-25.0975,29.4608,,,,,who_mfl
Mothutlong Clinic,clinic,Public,GP,,,-25.6029,27.8846,,,,,who_mfl
Motsamai Clinic,clinic,,GP,,,-26.325,28.1629,,,,,who_mfl
Moutse East Clinic,clinic,Public,GP,,,-25.1512,29.1052,,,,,who_mfl
Mpumelelo Clinic,clinic,Public,GP,,,-25.9856,28.209,,,,,who_mfl
Mpumelelo Evaton North Clinic,clinic,,GP,,,-26.5117,27.8549,,,,,who_mfl
Muldersdrift Clinic,clinic,Public,GP,,,-26.0157,27.8571,,,,,who_mfl
Munsiville care of the aged,clinic,,GP,,"2542 Jabulani street, Munsieville",,,,,,,dsfsi_vacc
Naledi Clinic,clinic,,GP,,,-26.2601,27.8208,,,,,who_mfl
Naledi Ext 2 Sports Centre,clinic,,GP,,"LETSATSI STREET, EXTENSION 2, NALEDI",,,,,,,dsfsi_vacc
Ndlovu Medical Centre,clinic,,GP,,,-25.2843867,29.1935515,,,,,osm
Nelimahle Phamarcy,clinic,,GP,Soshanguve,"unit 9, 0152",-25.4853046,28.0954367,,,,,osm
Nellmapius Clinic,clinic,,GP,,494 Loeriesfontein Crescent Nellmapius Ext 1,-25.7388,28.3481,,,,,who_mfl
Nevada Medical Center,clinic,,GP,"Sebokeng,Vreeniging",Johanna Van Den Merwe Road,-26.5476235,27.8699293,,,,,osm
New Eersterus Clinic,clinic,Public,GP,,,-25.4066,28.1447,,,,,who_mfl
Newtown Parkhome Clinic,clinic,Public,GP,,,-25.738,29.4286,,,,,who_mfl
Ngobi Clinic,clinic,Public,GP,,,-25.0277,28.0911,,,,,who_mfl
Nigel Clinic,clinic,,GP,Ekurhuleni,"Kerk and Police Road, Nigel",-26.4197,28.469,,,,,who_mfl
Nizamiye Clinic,clinic,Public,GP,,,-26.0156,28.1297,,,,,who_mfl
Nokuphila Clinic,clinic,,GP,,,-26.2306,27.8508,,,,,who_mfl
Nongogo V N Physiotherapy,clinic,,GP,Daveyton,Mocke Street,-26.1403464,28.4240073,,,,,osm
Noordgesig LA Clinic,clinic,Public,GP,,,-26.2253,27.9362,,,,,who_mfl
Noordheuwel Clinic,clinic,,GP,Krugersdorp,Bell Drive,-26.0887,27.8076,,,,,who_mfl
Northmead Clinic,clinic,Public,GP,"Northmead, Benoni",Cnr Hospital & Aster Street,-26.1595,28.3125,,,,+27 11 425 0742,who_mfl
Norwood Pharmacy,clinic,,GP,,74 Grant Avenue,,,,,,,dsfsi_vacc
Nthoroane Clinic,clinic,Public,GP,"Greylingstad,Mpumalanga",Twala,-26.7628,28.7763,,,,+27 17 778 0009,who_mfl
Ntlharhimed Clinic,clinic,,GP,Tembisa,Mapungubwe Street,-25.9981285,28.2187057,,,,,osm
Oaklahoma ARV Site,clinic,Public,GP,,,-25.9249,28.126,,,,,who_mfl
Odirileng Maponya Clinic,clinic,,GP,,,-26.1589,27.7832,,,,,who_mfl
Ogies Clinic,clinic,Public,GP,,,-26.0498,29.0568,,,,,who_mfl
Olievenhoutbosch Ext 13 Clinic,clinic,,GP,,,-25.9114,28.0931,,,,,who_mfl
Olievenhoutbosch hall,clinic,,GP,,Cnr Legong And Rethabile Streets Olievenhoutbosch,,,,,,,dsfsi_vacc
Olifantsfontein Clinic,clinic,,GP,,,-25.9566,28.2288,,,,,who_mfl
Onverwacht Clinic,clinic,Public,GP,,,-25.6034,28.5992,,,,,who_mfl
Orange Farm Ext 7 Clinic,clinic,Public,GP,,,-26.4818,27.8484,,,,,who_mfl
Orchards Clinic,clinic,Public,GP,"Orange Grove, Johannesburg",Louis Botha Avenue,-26.139,28.0902,,,,,who_mfl
Orlando LA Clinic,clinic,Public,GP,"Soweto, Gauteng",Rathebe Street,-26.2371,27.9194,,,,+27 11 935 5186,who_mfl
Osizweni Clinic,clinic,,GP,,,-26.5225,27.8347,,,,,who_mfl
Oukasie Clinic,clinic,Public,GP,,,-25.6089,27.8036,,,,,who_mfl
Oxford Healthcare Centre,clinic,,GP,Randburg,Oxford Road,-26.1631571,28.0472974,,,,+27 10 350 0350,osm
PJ Maree Clinic,clinic,,GP,,,-26.2047,27.7062,,,,,who_mfl
Palm ridge Community Centre,clinic,,GP,Ekurhuleni,"41 Palm Ridge road, Palm Ridge",,,,,,,dsfsi_vacc
Palmridge Clinic,clinic,,GP,Ekurhuleni,"Cnr Teebos Avenue and Soetdoring Street, Palm Ridge",-26.3888,28.1429,,,,,who_mfl
Parkhurst Clinic,clinic,Public,GP,Johannesburg,"Stand 506, Cnr 14th Street and 5th Avenue, Parkhurst",-26.1376,28.0154,,,,,who_mfl
Parkhurst Recreational Centre,clinic,,GP,,Cnr 14Th Street And 5Th Avenue Parkhurst,,,,,,,dsfsi_vacc
Payneville Clinic,clinic,,GP,,,-26.2327,28.4572,,,,,who_mfl
Petervale Clinic,clinic,Public,GP,Johannesburg,"Cnr Witkoppen and Cambridge Road, Petervale",-26.0375,28.047,,,,,who_mfl
Phahameng Clinic,clinic,,GP,Tswane,Thaga Street,-25.7221,28.3926,,,,,who_mfl
Phake Clinic,clinic,Public,GP,,Phaphamang Section Next To Mabothe High School,-25.1503,28.4955,,,,,who_mfl
Pharmacy at SPAR Westpark,clinic,,GP,,66 Inner Crescent,,,,,,,dsfsi_vacc
Phatsima Clinic,clinic,Public,GP,,,-25.3958,27.0142,,,,,who_mfl
Phedisong 1 Clinic,clinic,Public,GP,Ga-Rankuwa,Thipe Street,-25.6157,27.9879,,,,+27127033978,who_mfl
Phedisong 6 Clinic,clinic,Public,GP,,,-25.6048,28.008,,,,,who_mfl
Phenduka Clinic,clinic,,GP,,,-26.3396,28.1419,,,,,who_mfl
Philadelphia Gateway Clinic,clinic,Public,GP,,,-25.2592,29.1486,,,,,who_mfl
Phomolong Clinic,clinic,,GP,Tlhabane,Makheni Street,-25.7804,28.0427,,,,,who_mfl
Phuthanang Clinic,clinic,,GP,,,-26.3578,28.3783,,,,,who_mfl
Pick N Pay Pharmacy - Centurion,clinic,,GP,,Cnr Lenchen & Old Pretoria Roads,,,,,,,dsfsi_vacc
Pick N Pay Pharmacy - Montana,clinic,,GP,,"Cnr. Zambezi Drive and Enkeldoom Road, Montana 0182",,,,,,,dsfsi_vacc
Pick N Pay Pharmacy - Norwood,clinic,,GP,,Cnr Grant & 6th Avenue,,,,,,,dsfsi_vacc
Pick N Pay Pharmacy - Woodmead,clinic,,GP,,Woodmead Retail Park Woodmead Drive Woodmead Sandton,,,,,,,dsfsi_vacc
Pienaarsrivier Clinic,clinic,Public,GP,,,-25.2164,28.3015,,,,,who_mfl
Pierre Van Ryneveld Satellite Clinic,clinic,,GP,,,-25.843,28.2433,,,,,who_mfl
Pieterskraal Clinic,clinic,Public,GP,Pieterskraal A,"QWV9+GPF, Pieterskraal A, Mpumalanga, Kenya",-25.2062,28.9193,,,,,who_mfl
Pink Hall,clinic,,GP,,"cnr 4th Avenue and 6th Street, Rietvallei ext 2",,,,,,,dsfsi_vacc
Pontshong Walkerville Clinic,clinic,Public,GP,,,-26.4933,27.9331,,,,,who_mfl
President Hyper,clinic,,GP,,"Vaal Rd & Playfair blvd, Vanderbijlpark",,,,,,,dsfsi_vacc
Pretoria North hall,clinic,,GP,,"176 Emily Hobhouse Street, Corner Emily Hobhouse & Brits Street, Pretoria NorthStreet",,,,,,,dsfsi_vacc
Pretoria Station Medical Centre,clinic,,GP,Pretoria,Scheiding Street,-25.757053,28.1882531,,,,,osm
Pretorius Park Clinic,clinic,,GP,,,-25.8125,28.3046,,,,,who_mfl
Prime Cure Vosloorus,clinic,Netcare,GP,Vosloorus,"Albrecht Rd, Vosloorus, 1475",-26.348,28.193,,,healthbridge,,curated
Princess Clinic,clinic,,GP,,,-26.1373,27.8437,,,,,who_mfl
Protea Glen Clinic,clinic,Public,GP,Johannesburg,,-26.2741,27.8036,,,,,who_mfl
Protea South Clinic,clinic,,GP,,,-26.2872,27.8408,,,,,who_mfl
Pullenshope Clinic,clinic,Public,GP,,,-25.7741,29.4513,,,,,who_mfl
Quality Care Private Clininc,clinic,,GP,Tembisa,Larissa Street,-26.0014602,28.2316366,,,,,osm
RPL Moripe Kameelrivier A Clinic,clinic,Public,GP,,,-25.138,28.9474,,,,,who_mfl
Rabie Ridge Clinic,clinic,,GP,,,-26.0197,28.1717,,,,,who_mfl
Rabokala Clinic,clinic,Public,GP,,,-25.5244,27.8932,,,,,who_mfl
Rabosotho hall,clinic,,GP,Ekurhuleni,Corner Andrew Mapheto and George Nyanga Streets,,,,,,,dsfsi_vacc
Ramaphosa Clinic,clinic,,GP,,,-26.2213,28.2073,,,,,who_mfl
Ramokokastad Clinic,clinic,Public,GP,Ramokokastad,0195,-25.14,27.4553,,,,,who_mfl
Ramosa Hall (Phase II),clinic,,GP,,"Thebenare street, Mohlakeng",,,,,,,dsfsi_vacc
Ramotse Clinic,clinic,Public,GP,,,-25.3576,28.2951,,,,,who_mfl
Randburg MediCross,clinic,Netcare,GP,Fontainebleau Randburg,Cnr Rabie & Malibongwe Street,-26.1107436,27.9896999,,,,+27 11 796 1400,osm
Randgate Clinic,clinic,,GP,,1032 Bailey Street Randgate,-26.1691,27.6836,,,,,who_mfl
Randvaal Clinic,clinic,,GP,,,-26.5151,28.0448,,,,,who_mfl
Rankelenyane Clinic,clinic,Public,GP,,,-25.5716,27.4293,,,,,who_mfl
Ratanda,clinic,,GP,,2844 Boschoek Street Ratanda Heidelberg,,,,,,,dsfsi_vacc
Ratanda Ext 23 Clinic,clinic,,GP,,,-26.5393,28.3608,,,,,who_mfl
Ratanda Ext 7 Clinic,clinic,,GP,,,-26.5678,28.327,,,,,who_mfl
Ratjiepan Clinic,clinic,Public,GP,,,-25.3317,28.089,,,,,who_mfl
Rayton Apteek En Medisyne Depot,clinic,,GP,,1 Treurnicht Street,,,,,,,dsfsi_vacc
Rayton Hall,clinic,,GP,,"Cnr Oakley and Montrose Street, Rayton",,,,,,,dsfsi_vacc
Rayton Public Clinic,clinic,,GP,Rayton,Montrose Street,-25.73899,28.53191,,,,+27 12 734 4274,osm
Reedville Clinic,clinic,,GP,,,-26.2648,28.3905,,,,,who_mfl
Refengkgotso Clinic,clinic,Public,GP,,,-26.8934,28.0716,,,,,who_mfl
Refentse Clinic Odi,clinic,Public,GP,,3194 Tambo 11 stinkwater 0400,-25.3966,28.1561,,,,,who_mfl
Refilwe Clinic,clinic,Public,GP,,,-25.6376,28.5304,,,,,who_mfl
Reiger Park Clinic,clinic,,GP,,,-26.2303,28.2261,,,,,who_mfl
Rensburg Clinic,clinic,,GP,,,-26.524,28.3719,,,,,who_mfl
Rethabiseng Clinic,clinic,Public,GP,,,-25.7185,28.7124,,,,,who_mfl
Rethabiseng hall,clinic,,GP,,310 Matukane Strret Rethabiseng Ext 1,,,,,,,dsfsi_vacc
Retswelapele Clinic,clinic,,GP,,,-26.6731,27.8803,,,,,who_mfl
Reuven Satellite Clinic,clinic,Public,GP,"Reuven, Johannesburg",Benray Road,-26.2374,28.0289,,,,+27 116813600,who_mfl
Rex Street Clinic,clinic,Public,GP,Johannesburg,"Stand 782, 15 Rex Street, Roodepoort",-26.1594,27.8649,,,,,who_mfl
Rhenosterkop Clinic,clinic,Public,GP,,Stand No: E1444 Next To Malebo High School And Moutse Primary School,-25.1141,28.9325,,,,,who_mfl
Ridgeway Gardens Pharmacy @ Spar,clinic,,GP,,"Shop 8, 193 Swartgoud & Letitia street, Ridgeway ext 5, 2091",,,,,,,dsfsi_vacc
Rietspruit Clinic,clinic,Public,GP,,,-26.7032,27.7576,,,,,who_mfl
Rietvallei 2 and 3 Clinic,clinic,,GP,,,-26.1854,27.7509,,,,,who_mfl
Rifle Range Medical Centre,clinic,,GP,,Daffodil Street,-26.2580018,28.0145634,,,,+27 11 433 2480,osm
River Park Clinic,clinic,,GP,,,-26.1064,28.1238,,,,,who_mfl
Riverlea Ext Clinic,clinic,,GP,"Riverlea, Johannesburg",Japura Street,-26.2171,27.9787,,,,,who_mfl
Rondebult Clinic,clinic,,GP,,,-26.3117,28.2102,,,,,who_mfl
Roodepoort Town Hall,clinic,,GP,,172 Belandina Street Roodepoort Exner Street,,,,,,,dsfsi_vacc
Rooihuiskraal Clinic,clinic,,GP,Centurion,Maraboe Avenue,-25.8937,28.1537,,,,,who_mfl
Rosettenville Clinic,clinic,,GP,,Turf Club Street,-26.2446,28.0536,,,,+27 11 683 9438,who_mfl
Roshnee Clinic,clinic,,GP,,,-26.5646,27.9424,,,,,who_mfl
Rosslyn Clinic,clinic,,GP,Pretoria,"3 Piet Rautenbach Street, Rosslyn",-25.6264,28.0949,,,,,who_mfl
Rox Pharmacy,clinic,,GP,,69 Church Street,,,,,,,dsfsi_vacc
Royal Bafokeng Platinum Clinic,clinic,,GP,,,-25.4649903,27.1005415,,,,,osm
Rugtesloot Clinic,clinic,Public,GP,,,-25.0268,27.8535,,,,,who_mfl
Rus ter vaal Clinic,clinic,,GP,,,-26.5746,27.9491,,,,,who_mfl
Rustenburg Gateway Clinic,clinic,Public,GP,,,-25.4061,27.1467,,,,,who_mfl
SILHOUETTE AESTHETIC CLINIC,clinic,,GP,,Simba Road,-26.0351352,28.0678973,,,,,osm
Sablemed Medical Practice,clinic,,GP,,,-25.6335805,28.3940446,,,,,osm
Sakhile Clinic,clinic,Public,GP,,,-26.9641,29.2211,,,,,who_mfl
San Ridge Medical Centre,clinic,,GP,,,-25.9760291,28.1174227,,,,+27 11 318 0040,osm
Sandfontein Clinic,clinic,Public,GP,,,-25.1865,27.2666,,,,,who_mfl
Sandown Clinic,clinic,Public,GP,Johannesburg,"139 West Street, Sandown, Sandton",-26.1063,28.0558,,,,,who_mfl
Sandringham Clinic,clinic,,GP,Johannesburg,,-26.1456,28.1079,,,,,who_mfl
Sandton Men's Clinic,clinic,,GP,Sandton,Vanessa Street,-26.058074,28.115746,,,,+27102059208,osm
Sasolburg Clinic,clinic,Public,GP,,,-26.8179,27.8277,,,,,who_mfl
Saul Tsotetsi,clinic,,GP,,"Unit 24, Sebokeng",,,,,,,dsfsi_vacc
Saulsville Clinic,clinic,,GP,Pretoria,Sekhu Street,-25.7786,28.0672,,,,,who_mfl
Schonkenville Clinic,clinic,Public,GP,,,-26.9332,27.4628,,,,,who_mfl
Sead Clinic,clinic,Public,GP,,5426 Victor Khanyisile Street Emzinoni,-26.3931,28.396,,,,,who_mfl
Sebei Motsoeneng Clinic,clinic,Public,GP,,,-26.5641,27.8423,,,,,who_mfl
Secunda Clinic,clinic,Public,GP,,,-26.5383,29.1648,,,,,who_mfl
Sedilega Clinic,clinic,Public,GP,"891/1662 Block U, Mabopane",0190,-25.4997,28.0355,,,,,who_mfl
Segwaelane Clinic,clinic,Public,GP,,,-25.6654,27.61,,,,,who_mfl
Selope Thema Clinic,clinic,,GP,,,-26.3078,28.419,,,,,who_mfl
Senaoane Clinic,clinic,,GP,,,-26.2731,27.8648,,,,,who_mfl
Senzangakhona Digital Village Clinic,clinic,Public,GP,,Senzangakhona Digital Village Clinic,-25.3965,28.7158,,,,,who_mfl
Seraleng Clinic,clinic,Public,GP,,,-25.6604,27.2448,,,,,who_mfl
Shalimar Ridge Clinic,clinic,Public,GP,,,-26.5136,28.3556,,,,,who_mfl
