___id___,category,companyname,dateissued,email,expirydate,faxnumber,licenceno,phonenumber,postaladdress,province,residentialaddress,responsiblepharmacist,responsiblepharmacistsection36exemption,type_of_licence_and_authorised_site_activity,typeoflicenceandauthorisedsiteactivity
254228,Certificate_Product_Registration,Access Pharma SA (Pty) Ltd,17/01/2025,mike@baobabhc.com or ismail@baobabhc.com ,17/01/2030,,0000001480.-.1,082 738 0656 or 073 661 6338,Postnew Suite 1240. Private Bag X1007. Lyttleton. Gauteng. 0517,,Building 10. Centuria Park. 265 Von Willich Avenue. Centurion. Gauteng. 0157,Ismail Ballim,,,Import
254229,Certificate_Product_Registration,Acino Pharma (Pty) Ltd (formerly Litha Pharma (Pty) Ltd),23/07/2025,Eugene.louw@acino.swiss,23/07/2030,,0000001088.-.7,27 663 047 007,P O Box 8356. Midrand. Johannesburg. Gauteng. 1685,,106 16th Road. Midrand. Johannesburg. Gauteng. 1686,Eugene Eric Louw,,,Import &amp; Export
254230,Certificate_Product_Registration,ACS Pharmaceuticals (Pty) Ltd,20/05/2025,viral.desai@acspharma.com,20/05/2030,,0000001488.-.1,010 060 0744 or 082 455 5241,Pharma HQ. Corner Barbara and North Reef Road. Elandsfontien. Germiston. Johannesburg. Gauteng. 1601,,Pharma HQ. Corner Barbara and North Reef Road. Elandsfontien. Germiston. Johannesburg. Gauteng. 1601,Viral Natvarlal Desai,,,Import &amp; Export
254231,Certificate_Product_Registration,Activo Health (Pty) Ltd,30/09/2021, haroun@activo.co.za,30/09/2026,,0000001094.-.8,27128487600,02 Waterford Mews. Waterford Place. Century City. Cape Town. Western Cape. 7441,,02 Waterford Mews. Waterford Place. Century City. Cape Town. Western Cape. 7441,Haroun Geyer,,,Import &amp; Export
254232,Certificate_Product_Registration,Adcock Ingram Limited ,14/07/2022,Deon.poovan@adcock.com,14/07/2027,,0000000947.-.14,011 635 0429 or 060 550 4172,Private Bag X69. Bryanston. Johannesburg. Gauteng. 2021,,1 New Road. Erand Gardens. Midrand. Gauteng. 1685,Deon Poovan,,,Import &amp; Export
254233,Certificate_Product_Registration,Adven Pharma (Pty) Ltd,07/01/2022,vanita.koen@advenpharma.co.za ,07/01/2027,,0000001408.-.1,27 828 173 185,Alpha House. Ballywoods Office Park. 33 Ballyclare Drive. Bryanston. Gauteng 2010,,Alpha House. Ballywoods Office Park. 33 Ballyclare Drive. Bryanston. Gauteng 2010,Vinita Lerieke Koen,,,Import &amp; Export
254234,Certificate_Product_Registration,African Medicines (Pty) Ltd trading as Pakmed Self Medication,31/10/2025,sumayya@pakmed.co.za,31/10/2030,,0000000545.-.17,011 975 1405 or 082 301 3466,Block E. MSI Business Park. 68 Rigger Road. Spartan. Kempton Park. Gauteng. 1619,,Block E. MSI Business Park. 68 Rigger Road. Spartan. Kempton Park. Gauteng. 1619,Sumayya Moosa,,, Export Only
254235,Certificate_Product_Registration,African Rx Enterprises (Pty) Ltd,14/04/2025,rp@africanregulatoryexperts.co.za,14/04/2030,,0000001486.-.2,27 725 025 109,Building 2. Villebois Office Park. Corner of Jacques Street and De Villebois Mareuil Drive. Moreleta Park. Pretoria. Gauteng. 0181,,Building 2. Villebois Office Park. Corner of Jacques Street and De Villebois Mareuil Drive. Moreleta Park. Pretoria. Gauteng. 0181,Leneri du Toit,,,Import &amp; Export
254236,Certificate_Product_Registration,AfriPharm South Africa (Pty) Ltd,29/06/2022,kovilin@afripharm.org ,29/06/2027,,0000001419.-.1,27 791 093 473,12 Riverwalk Fernbrook Estate. Inchanga Road. Fourways. Johannesburg. 2191,,12 Riverwalk Fernbrook Estate. Inchanga Road. Fourways. Johannesburg. 2191,Kovilin Govender,,,Import &amp; Export
254237,Certificate_Product_Registration,Afrivet Business Management (Pty) Ltd,07/12/2021,sorita.mann@afrivet.co.za,07/12/2026,,0000001198.-.5,27 128 179 060,Afrivet Warehouse. 921 Lynnwood Road. Equestria. Pretoria. Gauteng. 0184,,Afrivet Warehouse. 921 Lynnwood Road. Equestria. Pretoria. Gauteng. 0184,Caryl Louise Wilson,,,Import &amp; Export
254238,Certificate_Product_Registration,AFT Pharmaceuticals SA (Pty) Ltd (formerly Elle Pharm (Pty) Ltd),03/10/2023,vhansen@edgepharm.com,03/10/2028,,0000001448.-.2,27 832 720 004,Suite A. Rubenstein Ridge. 617 Rubenstein Drive. Moreleta Park. Gauteng. 0181,,Suite A. Rubenstein Ridge. 617 Rubenstein Drive. Moreleta Park. Gauteng. 0181,Sanette Benecke,,,Import
254239,Certificate_Product_Registration,Alcon Laboratories (South Africa) (Pty) Ltd,03/10/2024,regaffairs.za@alcon.com and avanthi.govenderbester@alcon.com ,03/10/2029,,0000000697.-.11,011 840 2300 or 083 454 5463,Hertford Office Park. Building L. 90 Bekker Road. Vorna Valley. Johannesburg. Gauteng. 1686,,Hertford Office Park. Building L. 90 Bekker Road. Vorna Valley. Johannesburg. Gauteng. 1686,Avanthi Govender Bester,,,Import &amp; Export
254240,Certificate_Product_Registration,Amgen South Africa (Pty) Ltd,18/09/2024,pnaicker@amgen.com ,18/09/2029,,0000001150.-.4,27 611 447 877,Building 4. Healthcare Park. Woodlands Drive. Woodmead. Johannesburg. Gauteng. 2191,,Building 4. Healthcare Park. Woodlands Drive. Woodmead. Johannesburg. Gauteng. 2191,Preshan Naicker,,,Import &amp; Export
254241,Certificate_Product_Registration,Amicis Health (Pty) Ltd,13/05/2024,regulatory@amicishealth.co.za or info@amicishealth.co.za ,13/05/2029,,0000001461.-.2,27 798 969 930,265 Von Willich Avenue. Centuria Park. Building 10. Die Hoewes. Centurion. Gauteng. 0157,,265 Von Willich Avenue. Centuria Park. Building 10. Die Hoewes. Centurion. Gauteng. 0157,Simoné Scheepers,,,Import &amp; Export
254242,Certificate_Product_Registration,Amka Pharmaceuticals (Pty) Ltd,26/01/2026,nazirk@amka.co.za ,26/01/2031,,0000001046.-.10,2712 676 0476,17 Ellman Street. Suderland Ridge. Centurion. Pretoria. Gauteng. 0001,,17 Ellman Street. Suderland Ridge. Centurion. Pretoria. Gauteng. 0001,Nazir Abdul Settar Kalla,,,Import &amp; Export
254243,Certificate_Product_Registration,Ando Pharma (Pty) Ltd,07/04/2022,craig@andopharma.co.za,07/04/2027,,0000001204.-.4,27 849 406 480,P O Box 6286. Parow East. Cape Town. 7501,,Unit 3. No. 5 Weld Street. Stikland. Bellville. Cape Town. Western Cape. 7530,Craig Daryl Braaf,,,Import. Export and (own storage &amp; dstribution) 
254244,Certificate_Product_Registration,Apothecon Labs cc.,18/05/2022,HBHIKHA2@YAHOO.COM,18/05/2027,,0000001103.-.5,27 828 737 985,P O Box 490. Crown Mines. Johannesburg. 2025,,No 72 4th Street. Booysens Reserve. Johannesburg. 2091,Nasreen Limbada,,,Import only
254245,Certificate_Product_Registration,Arya Pharma (Pty) Ltd,09/10/2025,viral@aryapharma.co.za or ishita@aryapharma.co.za ,09/10/2030,,0000001372.-.3,010 060 0743 or 2772 737 7008,Pharma HQ Corner Barbara and North Reef Road. Elandsfontein. Henville. Germiston. Johannesburg. Gauteng. 1601,,Pharma HQ Corner Barbara and North Reef Road. Elandsfontein. Henville. Germiston. Johannesburg. Gauteng. 1601,Ishita Kainth Kaushal,,,Import &amp; Export
254246,Certificate_Product_Registration,Ascend Laboratories (Pty) Ltd (Formerly Alkem),27/09/2024,pharmacist.rsa@alkem.com ,27/09/2029,,0000001057.-.11,27102760037,Office 7.6. 7th Floor Sandton City Office Tower. Corner Rivonia Road and 5th Street. Sandton. Gauteng. 2196,,Office 7.6. 7th Floor Sandton City Office Tower. Corner Rivonia Road and 5th Street. Sandton. Gauteng. 2196,Refilwe Suzan Malatsi,,,Import &amp; Export
254247,Certificate_Product_Registration,Ascendis Pharma (Pty) Ltd,05/12/2023, regulatory@ascpharma.co.za ,05/12/2028,,0000000983.-.17,011 611 1456 or 083 611 1244,Lochhouse Unit 3. 5 Eton Road. Parktown. Johannesburg. Gauteng. 2193,,Lochhouse Unit 3. 5 Eton Road. Parktown. Johannesburg. Gauteng. 2193,Ayshabibi Ismail Ebrahim,,,Import &amp; Export
254248,Certificate_Product_Registration,Ascendis Supply Chain (Pty) Ltd (formerly known as Pharma Natura (Pty) Ltd),08/04/2025,rudi.griezel@ascendishealth.com or dawn.keswa@ascendishealth.com ,08/04/2030,,0000000603.-.12,27 716 828 255,1 Carey Street. Wynberg. Sandton. Gauteng. 2090,,1 Carey Street. Wynberg. Sandton. Gauteng. 2090,Dawn Keswa,,,Import &amp; Export
254249,Certificate_Product_Registration,Astellas Pharma (Pty) Ltd,12/03/2024,Shamima.rashid@astellas.com ,12/03/2029,,0000000554.-.12,27 11 615 9433,7 Mirage Road. Bedfordview. Johannesburg. Gauteng. 2008,,7 Mirage Road. Bedfordview. Johannesburg. Gauteng. 2008,Shamima Rashid,,,Import &amp; Export
254250,Certificate_Product_Registration,Astral Pharma (Pty) Ltd (Formerly Regipharm),01/09/2022,rp@astralpharma.co.za,01/09/2027,,0000001203.-.4,27 825 756 121,49 Riboville Road. Randjiesfontein. Midrand. Gauteng. 1683,,49 Riboville Road. Randjiesfontein. Midrand. Gauteng. 1683,Claudette Teresa Bartlett,,,Import &amp; Export
254251,Certificate_Product_Registration,AstraZeneca Pharmaceuticals (Pty) Ltd,07/03/2023,andiswa.lawana1@astrazeneca.com,07/03/2028,,0000000957.-.11,27 117 976 052,Building 2. Northdowns Office Park. 17 Georgian Crescent West. Bryanston. Gauteng. 2191,,Building 2. Northdowns Office Park. 17 Georgian Crescent West. Bryanston. Gauteng. 2191,Andiswa Lawana,,,Import &amp; Export
254252,Certificate_Product_Registration,Aurobindo Pharma (Pty) Ltd,28/01/2022,berenice.campbell@aurobindo.com,28/01/2027,,0000000866.-.12,118679100,Postnet Suite #17. Private Bag X1569. Glenvista. 2058,,Woodhill Office Park- Building 1- 53 Philip Engelbrecht Avenue- Meyersdal- 1448,Berenice Campbell,,,Import &amp; Export
254253,Certificate_Product_Registration,Aurogen South Africa (Pty) Ltd,17/11/2022,Samantha.chengiah@aurogensa.co.za ,17/11/2027,,0000001284.-.2,011 867 9110 and 011 867 9100 ,P O Box 343- Parklands- Johannesburg- 2121,,Woodhill Office Park- Building 1. 53 Philip Engelbrecht Avenue- Meyersdal- 1448,Samantha Pillay Chengiah,,,Import &amp; Export
254254,Certificate_Product_Registration,Austell Pharmaceuticals (Pty) Ltd (Formerly Austell Laboratories),10/04/2024,Smahomed@austell.co.za ,10/04/2029,,0000000589.-.16,27 116 111 400,1 Sherborne Road. Parktown. Johannesburg. Gauteng. 2193,,1 Sherborne Road. Parktown. Johannesburg. Gauteng. 2193,Shehnaz Mahomed,,,Import &amp; Export
254255,Certificate_Product_Registration,Avid Brands S.A. (Pty) Ltd,17/06/2025,carla@avidbrands.com,17/06/2030,,0000001166.-.3,27317652045,Suite 9 Hillcrest Office Park. 2 Old Main Road. Hillcrest. Kwa Zulu Natal. 3610,,Suite 9 Hillcrest Office Park. 2 Old Main Road. Hillcrest. Kwa Zulu Natal. 3610,Carla Hall,,,Import &amp; Export
254256,Certificate_Product_Registration,AXIM Pharmaceuticals (Pty) Ltd,21/05/2024,Tinashec@axim.co.za,21/05/2029,,0000000216.-.22,27113140140,AXIM House. 63 Old Pretoria Main Road. Halfway House. Midrand. Gauteng. 1685,,AXIM House. 63 Old Pretoria Main Road. Halfway House. Midrand. Gauteng. 1685,Tinashe Chinoingira,,,Import &amp; Export
254257,Certificate_Product_Registration,Azinga Pharmaceuticals (Pty) Ltd,14/07/2022,maides@azingapharma.co.za,14/07/2027,,0000001422.-.2,082 565 7037 or 012 345 1747,100 Sovereign Drive (Office 4. 1st Floor. Clinigen SA Building). Route 21 Corporate Park. Nellmapius Drive. Irene. Pretoria. 0157,,100 Sovereign Drive (Office 4. 1st Floor. Clinigen SA Building). Route 21 Corporate Park. Nellmapius Drive. Irene. Pretoria. 0157,Maides Jansen van Rensburg,,,Import &amp; Export
254258,Certificate_Product_Registration,B. Braun Medical (Pty) Ltd,22/08/2024,Lulamile.mangaliso@bbraun.com ,22/08/2029,,00000000470.-.16,27 664 702 948,P O Box 1787. Randburg. 2125,,253 Aintree Avenue. Hoogland Ext 41. Northriding. Johannesburg. Gauteng. 2194,Lulamile Mangaliso,,,Import &amp; Export
254259,Certificate_Product_Registration,Baxter Healthcare South Africa (Pty) Ltd,15/03/2024,colin_atkinson@baxter.com ,15/03/2029,,0000001135.-.6,27 117 902 001,P O Box 70562. Bryanston. Johannesburg. Gauteng. 2021,,Eden Gardens – The Campus. 57 Sloane Street. Corner Main Road. Bryanston. Johannesburg. Gauteng. 2021,Babalwa Nontokozo Pamla,,,Import &amp; Export
254260,Certificate_Product_Registration,Bayer (Pty) Ltd t/a Bayer Healthcare,25/07/2025,eric.chauke@bayer.com ,25/07/2030,,0000000620.-.19,011 921 5549 or 082 821 5344,Collaboration Hub. 1st Floor. Waterfall Circle. 9 Country Estate Drive. Waterfall City. Midrand. Gauteng. 2090,,Collaboration Hub. 1st Floor. Waterfall Circle. 9 Country Estate Drive. Waterfall City. Midrand. Gauteng. 2090,Eric Chauke,,,Import &amp; Export
254261,Certificate_Product_Registration,Bennetts The Chemists (Pty) Ltd,10/09/2025,Shenaz@colic.co.za ,10/09/2030,,0000001077.-.5,011 608 3733 or 082 337 0854,P O Box 76076. Wendywood. 2144,,16 Galaxy Avenue. Linbro Business Park. Linbro Park. Sandton. Gauteng. 2065,Shenaz Bacus,,,Export
254262,Certificate_Product_Registration,BeOne Medicines South Africa (Pty) Ltd (formerly BeiGene South Africa (Pty) Ltd),23/11/2022, nadia.kahts@beonemed.com,23/11/2027,,0000000653.-.13,27 765 090 279,VilleBois Office Park. Building 2 – 920 De Ville Bois Mareuil Drive. Moreleta Park X36. Pretoria. Gauteng. 0044,,VilleBois Office Park. Building 2 – 920 De Ville Bois Mareuil Drive. Moreleta Park X36. Pretoria. Gauteng. 0044,Nadia Kahts,,,Import &amp; Export
254263,Certificate_Product_Registration,Beta Pharmaceuticals cc,20/05/2022,henriette@betapharm.co.za,20/05/2027,,00000000707.-.5,27 413 781 189,17 Seaway Avenue. Kini Bay. Port Elizabeth. 6050,,17 Seaway Avenue. Kini Bay. Port Elizabeth. 6050,Henriette Rust,,,Import &amp; Export
254264,Certificate_Product_Registration,BGM Pharmaceuticals (Pty) Ltd,17/04/2023,lerato@bgmpharma.co.za ,17/04/2028,,0000001276.-.2,27 116 242 823,Bergzicht Office Park. 5 Rooibok Avenue. Allen’s Nek Ext 45. Roodepoort. Gauteng. 1709,,Bergzicht Office Park. 5 Rooibok Avenue. Allen’s Nek Ext 45. Roodepoort. Gauteng. 1709,Lerato Mathabelo Makha,,,Import &amp; Export
254265,Certificate_Product_Registration,Biomab Innovation (Pty) Ltd,16/09/2021,melani@biomab.co.za ,16/09/2026,,0000001390.-.1,083 414 2313,3 Stirrup Lane. Woodmead Office Park. Van Reenens Ave. Woodmead. 2144,,3 Stirrup Lane. Woodmead Office Park. Van Reenens Ave. Woodmead. 2144,Elzet Fourie,,,Import &amp; Export
254266,Certificate_Product_Registration,Biosphere Pharmaceuticals (Pty) Ltd,03/12/2025,pharmacist@biospherepharmaceuticals.co.za ,03/12/2030,,0000001501.-.1,27 824 412 080,125 Meade Street. Bodorp. George. Western Cape. 6529,,125 Meade Street. Bodorp. George. Western Cape. 6529,Lindi Karstens,,,Import &amp; Export
254267,Certificate_Product_Registration,Biotech Laboratories (Pty) Ltd,18/03/2024,info@biotechlabs.co.za or motshabi@biotechlabs.co.za,18/03/2029,,0000000237.-.15,27 827 712 251,Suite 150- Private Bag X65- Halfway House- Midrand. Gauteng. 1685,,400 16th Road. Ground Floor. Block K West. Central Park. Randjespark. Midrand. Gauteng. 1685,Motshabi Rose Evodiah Kgantsi,,,Import &amp; Export
254268,Certificate_Product_Registration,BioVerity Pharmaceuticals (Pty) Ltd,04/02/2025,armandt@bioverity.co.za,04/02/2030,,0000001481.-.1,27 730 979 445,36 Sovereign Drive. Route 21 Corporate Park. Irene. Gauteng. 0157,,36 Sovereign Drive. Route 21 Corporate Park. Irene. Gauteng. 0157,Aretha Els,,,Import &amp; Export
254269,Certificate_Product_Registration,Bliss Pharmaceuticals (Pty) Ltd,09/09/2025,regulatory@blissholdings.co.za,09/09/2030,,0000001014.-.1,087 265 9411 and 076 473 3576,P O Box 1116. Bassonia. Johannesburg. Gauteng. 2061,,Moshabi Suites. 57A Basroyd Drive. Bassonia. Johannesburg. Gauteng. 2061,Mashudu Constance Tloubatla,,,Import &amp; Export
254270,Certificate_Product_Registration,Boehringer Ingelheim Animal Health South Africa (Pty) Ltd (Formerly Merial),07/11/2024,toni-ann.williams@boehringer-ingelheim.com,07/11/2029,,0000000235.-.18,011 348 2507 or 083 226 3366,Private Bag X3032. Randburg. Gauteng. 2125,,Suite 2. Building 4. 2nd Floor. Waterfall Corporate Campus. 74 Waterfall Drive. Midrand. Gauteng. 2066,Toni-Ann Williams,,,Import &amp; Export
254271,Certificate_Product_Registration,Brunel Laboratoria (Pty) Ltd,12/04/2023,suzelle@brunel.co.za ,12/04/2028,,0000000230.-.16,2712 666 8994,1 Van Tonder Street. Sunderland Ridge. Centurion. Gauteng. 0157,,1 Van Tonder Street. Sunderland Ridge. Centurion. Gauteng. 0157,Suzelle Carlien Myburgh,,,Import &amp; Export
254272,Certificate_Product_Registration,Camox Pharmaceuticals (Pty) Ltd,15/10/2024,irefaanm@austell.co.za ,15/10/2029,,0000000559.-.18,27 116 111 400,1 Sherborne Road. Parktown. Johannesburg. Gauteng. 2193,,1 Sherborne Road. Parktown. Johannesburg. Gauteng. 2193,Mahomed Irefaan Mahomed,,,Import &amp; Export
254273,Certificate_Product_Registration,Ceva Animal Health (Pty) Ltd,15/08/2025,Nhlanhla.mhangwane@ceva.com,15/08/2030,,0000000981.-.7,011 312 4088 or 079 500 5372 and 082 895 1509 or 078 150 3490,Office 2. Building 16. Constantia Office Park. 546 16th Road. Randjespark. Midrand. Gauteng.1685,,Office 2. Building 16. Constantia Office Park. 546 16th Road. Randjespark. Midrand. Gauteng.1685,Nhlanhla Evans Mhangwane,,,Import &amp; Export
254274,Certificate_Product_Registration,CFAO Healthcare South Africa (Pty) Ltd (formerly Opella Healthcare South Africa (Pty) Ltd),04/06/2021,momarjee@cfao.com,04/06/2026,,0000001385.-.4,27 823 256 724,Atrium on 5th . 6th Floor. Sandton City. Corner Maude and 5th Street. Sandton. Gauteng. 2146,,Atrium on 5th . 6th Floor. Sandton City. Corner Maude and 5th Street. Sandton. Gauteng. 2146,Momeena Omarjee,,,Import &amp; Export
254275,Certificate_Product_Registration,Cipla Medpro (Pty) Ltd,16/05/2024,Praba.Thandrind@cipla.com ,16/05/2029,,0000000672.-.15,27 113 159 150,Building 2. Junxion Park. 10 Elephant Lane. Century City. Cape Town. Western Cape. 7441,,Building 2. Junxion Park. 10 Elephant Lane. Century City. Cape Town. Western Cape. 7441,Prabavathie Thandrind,,,Import &amp; Export
254276,Certificate_Product_Registration,Cospharm Investments (Pty) Ltd,25/02/2025,rp@cospharm.org,25/02/2030,,0000001335.-.5,27101109348,2 Concourse Crescent. Lonehill. Sandton. Johannesburg. Gauteng. 2062,,2 Concourse Crescent. Lonehill. Sandton. Johannesburg. Gauteng. 2062,Vibha Desai,,,Import &amp; Export
254277,Certificate_Product_Registration,Crux Pharmaceuticals (Pty) Ltd,11/12/2024,ajit.mangalmurti@cruxpharm.com or veni.padayachee@cruzpharm.com ,11/12/2029,,0000001064.-.7,27828051191,630 Jacqueline Drive. Garsfontein. Pretoria. Gauteng. 0042,,630 Jacqueline Drive. Garsfontein. Pretoria. Gauteng. 0042,Neelaveni Padayachee,,,Import &amp; Export
254278,Certificate_Product_Registration,Curanto Pharma (Pty) Ltd,18/02/2021,regulatory@curantopharma.co.za ,18/02/2026,,0000001371.-.1,012 004 0913,P O Box 93. Wierda Park. Centurion. 0149,,Soetdoring Office Park. First Floor. 7 Protea Street. Doringkloof. Centurion. 0157,Marguerite Annette Els,,,Import &amp; Export
254279,Certificate_Product_Registration,Delfran (Pty) Ltd,01/02/2024,qa@delfran.co.za and fif@delfran.co.za,01/02/2029,,0000001055.-.7,2712 654-3029,Unit 7. Diamond Park. 70 Jacaranda Street. Hennopspark. Centurion. Gauteng. 0157,,Unit 7. Diamond Park. 70 Jacaranda Street. Hennopspark. Centurion. Gauteng. 0157,Francois Ignatius Ferreira,,,Import &amp; Export
254280,Certificate_Product_Registration,Dr Reddy's Laboratories (Pty) Ltd,16/04/2024,herman@drreddys.com,16/04/2029,,0000000197.-.17,27 113 242 100,Block C. Woodmead North Office Park. 54 Maxwell Drive. Woodmead. Sandton. Gauteng. 2191,,Block C. Woodmead North Office Park. 54 Maxwell Drive. Woodmead. Sandton. Gauteng. 2191,Herman Beyers,,,Import &amp; Export
254281,Certificate_Product_Registration,Eisai Pharmaceuticals Africa (Pty) Ltd,03/10/2023,Epa-compliance@eisai.co.za ,03/10/2028,,0000001447.-.2,27825771102 and 082 871 4240,Private Bag X 60500. Houghton. Johannesburg. Gauteng. 2041,,2nd Floor. Golden Oaks. Ballyoaks Office Park. 35 Ballyclare Drive. Bryanston. Johannesburg. Gauteng. 2191,Jana Potgieter,,,Import &amp; Export
254282,Certificate_Product_Registration,Elanco Animal Health (Pty) Ltd,17/09/2025,Nishal.gunpath@elancoah.com and nosipho.cebisa@elancoah.com ,17/09/2030,,0000001362.-.3,082 805 6474 and 082 645 2206,Southdowns Ridge Office Park. Block A. John Foster &amp; Nellmapius. Irene Ext 54. Centurion. Gauteng. 0157,,Southdowns Ridge Office Park. Block A. John Foster &amp; Nellmapius. Irene Ext 54. Centurion. Gauteng. 0157,Nosipho Charlotte Cebisa,,,Import &amp; Export
254283,Certificate_Product_Registration,Eli Lilly (S.A.) (Pty) Ltd,12/09/2024,partridge_gina@lilly.com,12/09/2029,,0000000178.-.21,27 832 676 206,Private Bag X119. Bryanston. Johannesburg. Gauteng. 2021,,First Floor. Golden Oak House (Building E). Ballyoaks Office Park. 35 Ballyclare. Drive. Bryanston. Johannesburg. 2191,Gina Sophia Juliana Partridge,,,Import &amp; Export
254284,Certificate_Product_Registration,Elttab Pharmaceutical CC trading as Elttab Pharmaceuticals,30/05/2024,battle@iafrica.com ,30/05/2029,,0000001015.-.6,021 852 4118 or 083 654 5400,Suite 6. Helderberg Building. 76 Andries Pretorius Street. Somerset West. Western Cape. 7130,,Suite 6. Helderberg Building. 76 Andries Pretorius Street. Somerset West. Western Cape. 7130,Kalpana Prag,,,Import &amp; Export
254285,Certificate_Product_Registration,Emcure Pharmaceuticals South Africa (Pty) Ltd,29/05/2025,Nabeel.Flear@emcure.com,29/05/2030,,0000001118.-.7,2711 8677274,P O Box 2099. Mondeor. Johannesburg South. Gauteng. 2110,,Arizona House. 1st Floor. South Wing. Aspen Business Park. 1 Madison Avenue. Aspen Lakes. Ext 13. Johannesburg South. Gauteng. 2190,Nicholas Bruce Flear,,,Import &amp; Export
254286,Certificate_Product_Registration,Encha Health (Pty) Ltd,26/07/2022,SediseM@encha.co.za ,26/07/2027,,0000001423.-.2,27 113 122 223,Building 3. Magwa Crescent West. Maxwell Office Park. Waterfall City. Midrand. 2090,,Building 3. Magwa Crescent West. Maxwell Office Park. Waterfall City. Midrand. 2090,Sanette Benecke,,, Import &amp; Export
254287,Certificate_Product_Registration,Epiglo Pharmaceuticals (Pty) Ltd (formerly Medivision (Pty) Ltd),10/01/2025,zipho@epiglopharma.com,10/01/2030,,0000000479.-.9,27 663 911 485,Allandale Building. First Floor. 23 Magwa Crescent. Waterfall City. Gauteng. 1685,,Allandale Building. First Floor. 23 Magwa Crescent. Waterfall City. Gauteng. 1685,Ziphozonke Purity Lungile Langatshe,,,Import &amp; Export
254288,Certificate_Product_Registration,Equity Pharmaceutical (Pty) Ltd,15/02/2024,jeanne@equitypharma.co.za ,15/02/2029,,0000000205.-.18,2712 345 1593 or 345 1747,100 sovereign Drive- Route 21 Corporate Park- Nellmapius Road- Irene- Pretoria- 0041,,100 sovereign Drive- Route 21 Corporate Park- Nellmapius Road- Irene- Pretoria- 0041,Jeanne Maré,,,Import &amp; Export
254289,Certificate_Product_Registration,Eurolab (Pty) Ltd ,18/12/2023,melani@eurolab.co.za or info@eurolab.co.za ,18/12/2028,,0000001136.-.3,083 414 2313 or 011 656 0031,3 Stirrup Lane. Woodmead Office Park. Van Reenans Avenue. Woodmead. Sandton. Johannesburg. Gauteng. 2144,,3 Stirrup Lane. Woodmead Office Park. Van Reenans Avenue. Woodmead. Sandton. Johannesburg. Gauteng. 2144,Melani Hendricks,,,Import &amp; Export
254290,Certificate_Product_Registration,Evohealth (Pty) Ltd (formerly Valotype 248 cc trading as Vortex),14/04/2025,jayslen@evohealth.co.za,14/04/2030,,0000001164.-.5,27116563338,11 Jacaranda Street. Lords View Industrial Park. Chloorkop. Midrand. Gauteng. 1619,,11 Jacaranda Street. Lords View Industrial Park. Chloorkop. Midrand. Gauteng. 1619,Jayslen Naidoo,,,Import &amp; Export
254291,Certificate_Product_Registration,Fair Deal Corporation Pharmaceutical SA (Pty) Ltd t/a FDC SA (Pty) Ltd,15/09/2025,Reshma.joshi@fdcsa.com,15/09/2030,,0000001145.-.8,012 021 0332 or 084 608 2447,Unit J3. The Willows Office Park. Farm Road. The Willows. Pretoria East. Gauteng. 0081,,Unit J3. The Willows Office Park. Farm Road. The Willows. Pretoria East. Gauteng. 0081,Reshma Joshi,,,Import &amp; Export
254292,Certificate_Product_Registration,Ferring (Pty) Ltd,15/02/2024,CARS@ferring.com,15/02/2029,,0000000200.-.12,27834482614,6 Regency Drive. Route 21 Corporate Park. Irene Ext 30. Pretoria. Gauteng. 0157,,6 Regency Drive. Route 21 Corporate Park. Irene Ext 30. Pretoria. Gauteng. 0157,Carine Siecker,,,Import &amp; Export
254293,Certificate_Product_Registration,Forrester Pharma (Pty) Ltd,16/08/2024,fatima.booysen@forresterpharma.com ,16/08/2029,,0000001163.-.4,2721 943 0600 and 078 450 5801 F73,2 Waterford Mews. Waterford Place. Century City. Cape Town. Western Cape. 7441,,2 Waterford Mews. Waterford Place. Century City. Cape Town. Western Cape. 7441,Fatima Booysen,,,Import &amp; Export
254294,Certificate_Product_Registration,Fresenius Medical Care South Africa (Pty) Ltd,09/03/2021,sibabini.khatsha@freseniusmedicalcare.com,09/03/2026,,0000001059.-.6,27114579331,Private Bag X10039. Edenvale. 1610,,9 Galaxy Avenue. Linbro Business Park. Linbro Park. Johannesburg. 2090,Sibabini Khatsha,,,Import &amp; Export
254295,Certificate_Product_Registration,Galderma Laboratories South Africa (Pty) Ltd,03/07/2024,kamentha.seolall@galderma.com,03/07/2029,,0000000650.-.10,011 706 2339 or 065 645 7714,P O Box 71150. Bryanston. Gauteng. 2021,,Nicol Main Office Park. Block C. First Floor. Futurespace. 2 Bruton Road. Bryanston. Gauteng. 2191,Kamentha Seolall,,,Import &amp; Export
254296,Certificate_Product_Registration,GE Healthcare (Pty) Ltd,09/09/2024,Leratomathabelo.makha@gehealthcare.com ,09/09/2029,,0000000250.-.16,2 839 998 067,Office Suite BOG. Ground Floor Level. Building B. Stoneridge Office Park 8. Greenstone Place. Greenstone Hill. Johannesburg. Gauteng. 1609,,Office Suite BOG. Ground Floor Level. Building B. Stoneridge Office Park 8. Greenstone Place. Greenstone Hill. Johannesburg. Gauteng. 1609,Lerato Mathabelo Makha,,,Import &amp; Export
